,pop_id,pop_name,Strategic Bisnis Unit,Jenis PoP,Lokasi,Perangkat,Tahun,Mitra Perlaksana,Jumlah,Harga Satuan,BAPS,BASMP,Nilai,NOTES
72,POP_1YYK001,POP_1YYK001_YOGYAKARTA UTARA MANGKUBUMI UPJ PLN,Jawa Tengah,Building,POP_1YYK001_YOGYAKARTA UTARA MANGKUBUMI UPJ PLN,RECT 9 Slot,2023,PT Abacus Kencana Industri,1,41038970,Kelengkapan Instalasi,Belum,41038970.0,SWAP
73,POP_1TNA002,POP_1TNA002_BUDI KEMULIAAN GIS SHELTER PLN,Jakarta & Banten,Shelter,POP_1TNA002_BUDI KEMULIAAN GIS SHELTER PLN,RECT 2U,2022,PT Metaplas Harmoni,1,26755960,,,26755960.0,
74,POP_1KYB011,POP_1KYB011_DUREN TIGA GIS SHELTER PLN,Jakarta & Banten,Building,POP_1KYB011_DUREN TIGA GIS SHELTER PLN,RECT 2U,2022,PT Metaplas Harmoni,1,26755960,,,26755960.0,
75,POP_1SMR009,POP_1SMR009_DAMKAR MIKRO ODC,Kalimantan,Micro POP,POP_1SMR009_DAMKAR MIKRO ODC,EA ODC,2023,PT Abacus Kencana Industri,1,25800000,Kelengkapan Instalasi,Belum,25800000.0,SWAP
76,POP_1TNR001,POP_1TNR001_BERAU AREA MINI ODC PLN,Kalimantan,Mini ODC,POP_1TNR001_BERAU AREA MINI ODC PLN,EA ODC,2023,PT Abacus Kencana Industri,1,25800000,Kelengkapan Instalasi,Belum,25800000.0,SWAP
77,POP_1MAR003,POP_1MAR003_KANTOR CAMAT TALUDITI MIKRO POP,Sulawesi,Micro POP,POP_1MAR003_KANTOR CAMAT TALUDITI MIKRO POP,Battery VLRA 100AH,2023,PT Abacus Kencana Industri,1,32000000,Kelengkapan Instalasi,Belum,32000000.0,SWAP
78,POP_1AMR002,POP_1AMR002_AMURANG GI MINI POP PLN,Sulawesi,Mini POP,POP_1AMR002_AMURANG GI MINI POP PLN,EA ODC,2023,PT Abacus Kencana Industri,1,25800000,Kelengkapan Instalasi,Belum,25800000.0,SWAP
79,POP_1BLN001,POP_1BLN001_SATUI GI PLN,Kalimantan,Building,POP_1BLN001_SATUI GI PLN,RECT 2U,2023,PT Abacus Kencana Industri,1,26310000,Kelengkapan Instalasi,Belum,26310000.0,SWAP
80,POP_1TJP022,POP_1TJP022_TANJUNG PRIOK BARAT GI PLN,Jakarta & Banten,Building,POP_1TJP022_TANJUNG PRIOK BARAT GI PLN,RECT 2U,2022,PT Metaplas Harmoni,1,26755960,,,26755960.0,
81,POP_1TGR021,POP_1TGR021 CIKUPA (CISOKA) UP3 ODC PLN,Jakarta & Banten,ODC 3 Kabin,POP_1TGR021 CIKUPA (CISOKA) UP3 ODC PLN,RECT 2U,2023,PT Abacus Kencana Industri,1,19783660,Kelengkapan Instalasi,Belum,19783660.0,SWAP
82,POP_1PDG007,POP_1PDG007 SAKETI YANTEK ODC PLN,Jakarta & Banten,ODC 3 Kabin,POP_1PDG007 SAKETI YANTEK ODC PLN,RECT 2U,2023,PT Abacus Kencana Industri,1,19783660,Kelengkapan Instalasi,Belum,19783660.0,SWAP
83,POP_1CPT035,POP_1CPT035 UPP JJBB3 (PETUKANGAN) ODC PLN,Jakarta & Banten,ODC 3 Kabin,POP_1CPT035 UPP JJBB3 (PETUKANGAN) ODC PLN,BATT. LITHIUM 100AH ,2023,PT Abacus Kencana Industri,2,14935070,Kelengkapan Instalasi,Belum,29870140.0,SWAP
84,POP_1TNN003,POP_1TNN003_Tonsea Lama GI SHELTER PLN,Sulawesi,Shelter,POP_1TNN003_Tonsea Lama GI SHELTER PLN,Battery VLRA 100AH,2023,PT Abacus Kencana Industri,1,32000000,Kelengkapan Instalasi,Belum,32000000.0,SWAP
85,POP_1SBR005,POP_1SBR005_ARJAWINANGUN GI SHELTER PLN,Jawa Barat,Shelter,POP_1SBR005_ARJAWINANGUN GI SHELTER PLN,RECT 2U,2023,PT Abacus Kencana Industri,1,19783660,Kelengkapan Instalasi,Belum,19783660.0,SWAP
86,POP_1SBR005,POP_1SBR005_ARJAWINANGUN GI SHELTER PLN,Jawa Barat,Shelter,POP_1SBR005_ARJAWINANGUN GI SHELTER PLN,GENSET 20KVA,2023,PT Abacus Kencana Industri,1,157142860,Kelengkapan Instalasi,Belum,157142860.0,SWAP
87,POP_1SBM010,POP_1SBM010_PELABUHAN RATU GI SHELTER PLN,Jawa Barat,Shelter,POP_1SBM010_PELABUHAN RATU GI SHELTER PLN,RECT 2U,2023,PT Abacus Kencana Industri,1,19783660,Kelengkapan Instalasi,Belum,19783660.0,SWAP
88,POP_1KWG012,POP_1KWG012_TELUK JAMBE GI SHELTER PLN,Jawa Barat,Shelter,POP_1KWG012_TELUK JAMBE GI SHELTER PLN,RECT 2U,2023,PT Abacus Kencana Industri,1,19783660,Kelengkapan Instalasi,Belum,19783660.0,SWAP
89,POP_1IDM008,POP_1IDM008_INDRAMAYU GI SHELTER PLN,Jawa Barat,Shelter,POP_1IDM008_INDRAMAYU GI SHELTER PLN,BATT. LITHIUM 100AH ,2023,PT Abacus Kencana Industri,1,14935070,Kelengkapan Instalasi,Belum,14935070.0,SWAP
90,POP_1CLP005,POP_1CLP005_DERMAGA WIJAYAPURA,Jawa Tengah,Building,POP_1CLP005_DERMAGA WIJAYAPURA,GENSET 20KVA,2023,PT Abacus Kencana Industri,1,157142860,Kelengkapan Instalasi,Belum,157142860.0,SWAP
91,POP_1CKG001,POP_1CKG001_CAWANG BARU GITET 500KV PLN,Jakarta & Banten,Building,POP_1CKG001_CAWANG BARU GITET 500KV PLN,RECT 2U,2022,PT Metaplas Harmoni,1,26755960,,,26755960.0,
92,POP_1LLK002,POP_1LLK002_IMANDI ULP MIKRO POP PLN,Sulawesi,Micro POP,POP_1LLK002_IMANDI ULP MIKRO POP PLN,EA ODC,2023,PT Abacus Kencana Industri,1,25800000,Kelengkapan Instalasi,Belum,25800000.0,SWAP
